territory,region,population2000,population2010,population2014,population2025,population2050,undernourished,landArea,farmLand2000,farmLand2009,organic,gmo
Territory,Region,2000 Population in 1000s,2010 Population in 1000s,2014 Population in 1000s,2025 Population in 1000s,2050 Population in 1000s,Undernourished (1000's of people in 1990),Land Area (km^2), Farm Land Percent in 2000, Farm Land Percent in 2009,organic,gmo
South Korea,EAST_ASIA,46206,49090,50074,52065,51560,2149,97230,20,18,1,0
South Sudan,SUB_SAHARAN,6693,10056,11911,14293,17151,58,619745,0,0,0,0
Spain,EUROPE,40750,46601,46260,37395,31282,392,498800,60,56,10,1
Sri Lanka,SOUTH_ASIA,18784,20201,20619,22529,23066,5373,62710,37,40,1,0
Sudan,MIDDLE_EAST,28080,36115,39350,49556,63530,200,1886068,55,57,0,1
Suriname,SOUTH_AMERICA,481,518,538,442,418,65,156000,1,1,0,0
Swaziland,SUB_SAHARAN,1064,1193,1269,1138,1391,138,17200,71,71,0,0
Sweden,EUROPE,8872,9382,9703,8518,7777,86,410340,8,8,18,0
Switzerland,EUROPE,7166,7831,8211,6729,5607,67,39516,40,39,27,0
Syrian Arab Republic,MIDDLE_EAST,16354,20721,18772,27410,36345,125,183630,75,76,0,0
Tajikistan,CENTRAL_ASIA,6186,7582,8296,8066,9763,1483,139960,33,34,0,0
Tanzania,SUB_SAHARAN,33992,45649,51823,60395,82740,6110,885800,38,42,1,0
Thailand,SOUTH_ASIA,62693,66692,67726,77480,82491,20370,510890,39,41,0,0
Timor-Leste,OCEANIA,847,1057,1157,1388,1666,333,14870,23,26,11,0
Togo,SUB_SAHARAN,4875,6391,7115,8219,11832,1439,54390,67,66,0,0
Tonga,OCEANIA,98,104,106,110,125,1,720,42,43,1,0
Trinidad and Tobago,MIDDLE_AMERICA,1268,1328,1354,1437,1378,159,5130,13,11,0,0
Tunisia,MIDDLE_EAST,9699,10639,11130,12343,14076,412,155360,61,63,3,0
Turkey,MIDDLE_EAST,63240,72310,77524,86611,98818,2700,769630,53,51,3,0
Turkmenistan,CENTRAL_ASIA,4501,5042,5307,6844,8401,330,469930,76,73,0,0
Tuvalu,OCEANIA,9,10,10,14,16,0,30,67,60,0,0
US-Alabama,USA_SOUTHEAST,4447,4780,4849,5199,5743,84,131171,13,18,0,
US-Alaska,ARCTIC_AMERICA,627,710,737,860,1082,8,1717939,1,1,0,
US-Arizona,USA_MOUNTAIN,5131,6329,6731,8191,10900,143,294207,43,57,0,
US-Arkansas,USA_SOUTHERN_PLAINS,2673,2916,2966,3216,3619,58,134771,22,35,0,
US-California,USA_CALIFORNIA,33872,37254,38803,43849,53408,609,403466,23,37,9,
US-Colorado,USA_MOUNTAIN,4301,5029,5356,6071,7604,65,268871,45,61,1,
US-Connecticut,USA_NORTHERN_CRESCENT,3406,3574,3597,3790,4041,32,12542,3,5,0,
US-Delaware,USA_NORTHERN_CRESCENT,784,898,936,1045,1256,11,5047,18,36,0,
US-Florida,USA_SOUTHEAST,15982,18801,19893,23223,29796,289,138887,18,24,0,
US-Georgia,USA_SOUTHEAST,8186,9688,10097,11746,14782,189,148959,11,16,0,
US-Hawaii,OCEANIA,1212,1360,1420,1551,1820,17,10432,11,21,21,
US-Idaho,USA_MOUNTAIN,1294,1568,1634,1870,2314,22,214045,27,45,2,
US-Illinois,USA_HEARTLAND,12419,12831,12881,13473,14159,179,143793,60,73,0,
US-Indiana,USA_HEARTLAND,6080,6484,6597,6949,7522,112,92789,44,63,0,
US-Iowa,USA_HEARTLAND,2926,3046,3107,3099,3102,35,144669,67,82,0,
US-Kansas,USA_NORTHERN_PLAINS,2688,2853,2904,3084,3377,41,211754,56,86,0,
US-Kentucky,USA_SOUTHEAST,4042,4339,4413,4658,5052,78,102269,36,44,0,
US-Louisiana,USA_SOUTHERN_PLAINS,4469,4533,4650,4676,4784,67,111898,19,23,0,
US-Maine,USA_NORTHERN_CRESCENT,1275,1328,1330,1423,1541,16,79883,3,3,2,
US-Maryland,USA_NORTHERN_CRESCENT,5296,5774,5976,6522,7567,58,25142,22,28,0,
US-Massachusetts,USA_NORTHERN_CRESCENT,6349,6548,6745,6922,7347,74,20202,3,4,1,
US-Michigan,USA_NORTHERN_CRESCENT,9938,9884,9910,10149,10312,287,146435,20,27,0,
US-Minnesota,USA_NORTHERN_PLAINS,4919,5304,5457,5891,6690,67,206232,40,50,2,
US-Mississippi,USA_SOUTHEAST,2845,2967,2994,3176,3432,72,121531,16,25,0,
US-Missouri,USA_HEARTLAND,5595,5989,6064,6496,7148,98,178040,44,57,0,
US-Montana,USA_MOUNTAIN,902,989,1024,1085,1214,14,376962,61,69,1,
US-Nebraska,USA_NORTHERN_PLAINS,1711,1826,1882,1946,2088,18,198974,65,91,1,
US-Nevada,USA_MOUNTAIN,1998,2701,2839,3633,5055,37,284332,46,68,0,
US-NewHampshire,USA_NORTHERN_CRESCENT,1236,1316,1327,1507,1778,18,23187,2,3,0,
US-NewJersey,USA_NORTHERN_CRESCENT,8414,8792,8938,9463,10303,88,19047,8,11,0,
US-NewMexico,USA_MOUNTAIN,1819,2059,2086,2426,2959,42,314161,36,70,0,
US-NewYork,USA_NORTHERN_CRESCENT,18976,19378,19746,20199,20996,325,122057,22,22,4,
US-NorthCarolina,USA_SOUTHEAST,8049,9535,9944,11311,13898,170,125920,12,19,0,
US-NorthDakota,USA_NORTHERN_PLAINS,642,673,739,679,672,7,178711,77,90,17,
US-Ohio,USA_NORTHERN_CRESCENT,11353,11537,11594,11854,12054,164,105829,35,49,0,
US-Oklahoma,USA_SOUTHERN_PLAINS,3451,3751,3878,4096,4547,51,177660,53,72,0,
US-Oregon,USA_MOUNTAIN,3421,3831,3970,4410,5234,31,248608,28,45,0,
US-Pennsylvania,USA_NORTHERN_CRESCENT,12281,12702,12787,13064,13304,149,115883,17,22,0,
US-RhodeIsland,USA_NORTHERN_CRESCENT,1048,1053,1055,1100,1148,14,2678,2,5,0,
US-SouthCarolina,USA_SOUTHEAST,4012,4625,4832,5353,6394,67,77857,11,15,0,
US-SouthDakota,USA_NORTHERN_PLAINS,755,814,853,872,942,11,196350,58,89,5,
US-Tennessee,USA_SOUTHEAST,5689,6346,6549,7191,8374,112,106798,28,31,0,
US-Texas,USA_SOUTHERN_PLAINS,20852,25146,26957,30466,38307,462,676587,57,81,0,
US-Utah,USA_MOUNTAIN,2233,2764,2943,3399,4343,28,212818,36,53,10,
US-Vermont,USA_NORTHERN_CRESCENT,609,626,627,679,749,6,23871,12,13,3,
